%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0206.jpg			190	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0236.jpg			191	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0207.jpg			192	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0237.jpg			193	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0208.jpg			194	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0238.jpg			195	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0239.jpg			196	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0209.jpg			197	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0240.jpg			198	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0241.jpg			199	1
%														
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			200	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0210.jpg			201	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0211.jpg			202	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0212.jpg			203	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0213.jpg			204	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0242.jpg			205	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0214.jpg			206	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0215.jpg			207	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0216.jpg			208	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0217.jpg			209	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0218.jpg			210	3
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0219.jpg			211	3
